perturb_percent,perturb_time,controller,t_settle_after,ITAE,metric_M,rise_time,overshoot,settling_time_abs,rank_M,is_best
60,360,PID-FF,240.50505050505046,4195.823263065909,0.6838171074683908,-40.56565656565655,10.196919171411366,600.5050505050505,5.0,False
60,360,PID-GS-FF,44.070707070707044,2205.2395621018704,0.3002999552913556,-40.56565656565655,1.6236559149838596,404.07070707070704,2.0,False
60,360,PID,214.2323232323232,3808.7248876516283,0.6167639957579791,-40.56565656565655,9.317993329269829,574.2323232323232,4.0,False
60,390,PID-GS,54.95959595959596,1360.9787253312002,0.20170166668209272,-40.56565656565655,1.7058210796637452,444.95959595959596,1.0,True
60,390,FF,110.80808080808083,3344.939045835529,0.4787209645524007,-40.56565656565655,4.192255361413817,500.80808080808083,3.0,False
60,390,PID-FF,281.16161616161617,4306.614651889573,0.7368469161484249,-40.56565656565655,10.924657919232692,671.1616161616162,5.0,False
60,390,PID-GS-FF,51.404040404040416,1653.7602963813665,0.23456708976616283,-40.56565656565655,1.7554422103769136,441.4040404040404,2.0,False
60,390,PID,247.22222222222217,3706.7834828904497,0.6397871906587934,-40.56565656565655,9.99548398860228,637.2222222222222,4.0,False
60,420,PID-GS,44.23232323232321,1203.5061860528626,0.17517762264998685,-40.56565656565655,1.7479355024515142,464.2323232323232,1.0,True
60,420,FF,306.4181190286639,4120.786198137425,0.746232536581015,-40.56565656565655,5.0593360821633535,726.4181190286639,5.0,False
60,420,PID-FF,285.7676767676768,4264.478745215738,0.7374961460230659,-40.56565656565655,11.20095391465556,705.7676767676768,4.0,False
60,420,PID-GS-FF,40.84848484848487,1532.3874404692413,0.21348229220908174,-40.56565656565655,2.498474771756988,460.8484848484849,2.0,False
60,420,PID,248.43434343434342,3509.4265386509237,0.6214233410057678,-40.56565656565655,10.25655196222171,668.4343434343434,3.0,False
60,450,PID-GS,52.53535353535352,935.909693463827,0.15145243489653448,-40.56565656565655,1.7490028133450983,502.5353535353535,1.0,True
60,450,FF,430.8787878787879,5513.866106515565,1.0226271306878585,-40.56565656565655,6.567947811356199,880.8787878787879,5.0,False
60,450,PID-FF,300.29292929292933,4512.137353552201,0.7781018057430862,-40.56565656565655,11.259282939530802,750.2929292929293,4.0,False
60,450,PID-GS-FF,49.141414141414145,1519.5841704706863,0.21671740846985796,-40.56565656565655,3.2436096527950777,499.14141414141415,2.0,False
60,450,PID,259.89898989898995,3486.864555273608,0.6321419524304309,-40.56565656565655,10.2613782473342,709.89898989899,3.0,False
60,480,PID-GS,41.646464646464665,714.0570079017299,0.11707805349559658,-40.56565656565655,1.7490028133450983,521.6464646464647,1.0,True
60,480,FF,451.72727272727275,5532.046433618419,1.0489906027425309,-40.56565656565655,7.178129241970667,931.7272727272727,5.0,False
60,480,PID-FF,286.0909090909091,4166.899104829969,0.7280591920519016,-40.56565656565655,11.162181489800451,766.0909090909091,4.0,False
60,480,PID-GS-FF,38.2469163925374,1340.8205459119993,0.18816746843494617,-40.56565656565655,3.2627973470040628,518.2469163925374,2.0,False
60,480,PID,245.2020202020202,3140.876446839759,0.5822401057034511,-40.56565656565655,10.13198415686743,725.2020202020202,3.0,False
60,510,PID-GS,49.878787878787875,393.997711224719,0.09806749113926658,-40.56565656565655,1.7490028133450983,559.8787878787879,1.0,True
60,510,FF,450.0,5707.0800134056835,1.0631802419133813,-40.56565656565655,8.193166625312609,960.0,5.0,False
60,510,PID-FF,277.2222222222222,3820.0373889832777,0.6840271773216666,-40.56565656565655,10.740882922279631,787.2222222222222,4.0,False
